Date;PCR
2022-03-31 00:00:00;1.74
2022-04-01 00:00:00;1.79
2022-04-04 00:00:00;1.82
2022-04-05 00:00:00;2.12
2022-04-06 00:00:00;1.59
2022-04-07 00:00:00;1.58
2022-04-08 00:00:00;1.78
2022-04-11 00:00:00;1.9
2022-04-12 00:00:00;1.86
2022-04-13 00:00:00;1.63
2022-04-14 00:00:00;1.79
2022-04-18 00:00:00;1.84
2022-04-19 00:00:00;1.59
2022-04-20 00:00:00;1.76
2022-04-21 00:00:00;2.07
2022-04-22 00:00:00;1.98
2022-04-25 00:00:00;1.71
2022-04-26 00:00:00;1.53
2022-04-27 00:00:00;1.82
2022-04-28 00:00:00;1.64
2022-04-29 00:00:00;1.95
2022-05-02 00:00:00;1.69
2022-05-03 00:00:00;1.66
2022-05-04 00:00:00;1.54
2022-05-05 00:00:00;1.65
2022-05-06 00:00:00;1.59
2022-05-09 00:00:00;1.61
2022-05-10 00:00:00;1.36
2022-05-11 00:00:00;1.65
2022-05-12 00:00:00;2.01
2022-05-13 00:00:00;1.51
2022-05-16 00:00:00;1.8
2022-05-17 00:00:00;1.37
2022-05-18 00:00:00;1.82
2022-05-19 00:00:00;1.54
2022-05-20 00:00:00;1.67
2022-05-23 00:00:00;1.55
2022-05-24 00:00:00;1.37
2022-05-25 00:00:00;1.37
2022-05-26 00:00:00;1.27
2022-05-27 00:00:00;1.43
2022-05-31 00:00:00;1.31
2022-06-01 00:00:00;1.6
2022-06-02 00:00:00;1.37
2022-06-03 00:00:00;1.54
2022-06-06 00:00:00;1.57
2022-06-07 00:00:00;1.44
2022-06-08 00:00:00;1.37
2022-06-09 00:00:00;1.56
2022-06-10 00:00:00;1.76
2022-06-13 00:00:00;1.83
2022-06-14 00:00:00;1.36
2022-06-15 00:00:00;1.47
2022-06-16 00:00:00;1.71
2022-06-17 00:00:00;1.42
2022-06-21 00:00:00;1.34
2022-06-22 00:00:00;1.3
2022-06-23 00:00:00;1.35
2022-06-24 00:00:00;1.45
2022-06-27 00:00:00;1.43
2022-06-28 00:00:00;1.47
2022-06-29 00:00:00;1.3
2022-06-30 00:00:00;1.21
2022-07-01 00:00:00;1.43
2022-07-05 00:00:00;1.33
2022-07-06 00:00:00;1.33
2022-07-07 00:00:00;1.24
2022-07-08 00:00:00;1.45
2022-07-11 00:00:00;1.49
2022-07-12 00:00:00;1.46
2022-07-13 00:00:00;1.36
2022-07-14 00:00:00;1.28
2022-07-15 00:00:00;1.3
2022-07-18 00:00:00;1.55
2022-07-19 00:00:00;1.13
2022-07-20 00:00:00;1.36
2022-07-21 00:00:00;1.4
2022-07-22 00:00:00;1.58
2022-07-25 00:00:00;1.53
2022-07-26 00:00:00;1.4
2022-07-27 00:00:00;1.36
2022-07-28 00:00:00;1.38
2022-07-29 00:00:00;1.36
2022-08-01 00:00:00;1.53
2022-08-02 00:00:00;1.44
2022-08-03 00:00:00;1.19
2022-08-04 00:00:00;1.34
2022-08-05 00:00:00;1.49
2022-08-08 00:00:00;1.63
2022-08-09 00:00:00;1.44
2022-08-10 00:00:00;1.49
2022-08-11 00:00:00;1.35
2022-08-12 00:00:00;1.52
2022-08-15 00:00:00;1.23
2022-08-16 00:00:00;1.25
2022-08-17 00:00:00;1.32
2022-08-18 00:00:00;1.29
2022-08-19 00:00:00;1.43
2022-08-22 00:00:00;1.56
2022-08-23 00:00:00;1.3
2022-08-24 00:00:00;1.3
2022-08-25 00:00:00;1.16
2022-08-26 00:00:00;1.41
2022-08-29 00:00:00;1.49
2022-08-30 00:00:00;1.47
2022-08-31 00:00:00;1.46
2022-09-01 00:00:00;1.28
2022-09-02 00:00:00;1.53
2022-09-06 00:00:00;1.5
2022-09-07 00:00:00;1.26
2022-09-08 00:00:00;1.21
2022-09-09 00:00:00;1.36
2022-09-12 00:00:00;1.58
2022-09-13 00:00:00;1.64
2022-09-14 00:00:00;1.54
2022-09-15 00:00:00;1.48
2022-09-16 00:00:00;1.5
2022-09-19 00:00:00;1.36
2022-09-20 00:00:00;1.27
2022-09-21 00:00:00;1.27
2022-09-22 00:00:00;1.52
2022-09-23 00:00:00;1.71
2022-09-26 00:00:00;1.54
2022-09-27 00:00:00;1.69
2022-09-28 00:00:00;1.35
2022-09-29 00:00:00;1.4
2022-09-30 00:00:00;1.41
2022-10-03 00:00:00;1.2
2022-10-04 00:00:00;1.28
2022-10-05 00:00:00;1.03
2022-10-06 00:00:00;1.27
2022-10-07 00:00:00;1.17
2022-10-10 00:00:00;1.24
2022-10-11 00:00:00;1.23
2022-10-12 00:00:00;1.31
2022-10-13 00:00:00;1.26
2022-10-14 00:00:00;1.48
